#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
### base
String_Aztec;Aztec;aztèque;Azteke;;Nahuatla;;;;;;;;;x
### alternate_start
setting_religion_random_tooltip;Individual County Religions and their groups will be kept together, but will appear in random locations on the map. Most Heresies and special religions, such as the Nahuatl religion, are not included.;Les religions des comtés seront maintenues dans leurs groupes, mais apparaîtront dans des endroits aléatoires sur la carte. La plupart des hérésies et des religions spéciales, comme la religion nahuatl, ne sont pas incluses.;Einzelne Grafschaftsreligionen und ihre Gruppen werden zusammengehalten, erscheinen aber an zufälligen Orten auf der Karte. Die meisten Häresien und speziellen Religionen, wie die nahuatlische Religion sind davon ausgeschlossen.;;Religiones de condados individuales y grupos se mantienen unidos, pero aparecen en lugares aleatorios del mapa. La mayoría de las herejías y religiones especiales, como la náhuatl, no están incluidas.;;;;;;;;;x
setting_religion_full_random_tooltip;Individual County Religions and their groups will be kept together, but will appear in random locations on the map. Heresies and special religions, such as the Nahuatl religion, are included.;Les religions des comtés seront maintenues dans leurs groupes, mais apparaîtront dans des endroits aléatoires sur la carte. Les hérésies et les religions spéciales, comme la religion nahuatl, ne sont pas incluses.;Einzelne Grafschaftsreligionen und ihre Gruppen werden zusammengehalten, erscheinen aber an zufälligen Orten auf der Karte. Häresien und speziellen Religionen, wie die nahuatlische Religion sind darin inbegriffen.;;Religiones de condados individuales y grupos se mantienen unidos, pero aparecen en lugares aleatorios del mapa. Herejías y religiones especiales, como la náhuatl, están incluidas.;;;;;;;;;x
### religoin
aztec;Nahuatl;nahuatl;Nahuatlisch;;Nahuatl;;;;;;;;;x
aztec_DESC;The Nahuatl religion features a creation myth centered on sacrifice - even gods were sacrificed to keep the sun moving. This is reflected in the many festivals and rituals of the religion, which feature human sacrifice on a massive scale. The chief gods are Huitzilopochtli, god of war and human sacrifice, Tlaloc, god of thunder and rain, Xiuhtecuhtli, god of fire, Xipe Totec, 'our Lord the Flayed One' and Quetzalcoatl, god of wisdom.;La religion nahuatl se caractérise par un mythe de la création fondé sur le sacrifice. Des dieux eux-mêmes furent sacrifiés pour perpétuer le mouvement solaire. D'où les fréquents fêtes et rituels religieux, pendant lesquels des sacrifices humains se font en grand nombre. Les dieux dominants sont Huitzilopochtli, dieu de la guerre et du sacrifice humain, Tlaloc, dieu du tonnerre et de la pluie, Xiuhtecuhtli, dieu du feu, Xipe Totec, 'notre seigneur l'écorché', et Quetzalcoatl, dieu de la sagesse.;Die nahuatlische Religion besitzt ein Schöpfungsmythos, der sich um Opferungen dreht - selbst Götter wurden geopfert, um die Sonne weiterzubewegen. Dies spiegelt sich in vielen Festen und Ritualen der Religion wider, bei denen großangelegte Menschenopfer vorkommen. Die Hauptgötter sind Huitzilopochtli, Gott des Krieges und Menschenopfers, Tlaloc, Gott des Donners und Regens, Xiuhtecuhtli, Gott des Feuers, Xipe Totec, "Unser Herr, der Geschundene", und Quetzalcoatl, Gott der Weisheit.;;La religión Náhuatl cuenta con un mito de la creación centrada en el sacrificio - incluso los dioses se sacrificaron para mantener al sol en movimiento. Esto se refleja en las numerosas fiestas y rituales de la religión, que cuentan con el sacrificio humano a gran escala. Los principales dioses son Huitzilopochtli, dios de la guerra y el sacrificio humano, Tlaloc, dios del trueno y la lluvia, Xiuhtecuhtli, dios del fuego, Xipe Totec, Nuestro Señor el Desollado" y Quetzalcóatl, dios de la sabiduría.;;;;;;;;x
aztec_reformed;Nahuatl;nahuatl;Nahuatlisch;;Náhuatl;;;;;;;;;x
aztec_reformed_DESC;The Nahuatl religion features a creation myth centered on sacrifice - even gods were sacrificed to keep the sun moving. This is reflected in the many festivals and rituals of the religion, which feature human sacrifice on a massive scale. The reformed Nahuatl religion has a proper Holy Book, a standardized liturgy and a formal church hierarchy led by a flock of dedicated hierophants.;La religion nahuatl se caractérise par un mythe de la création fondé sur le sacrifice. Des dieux eux-mêmes furent sacrifiés pour perpétuer le mouvement solaire. D'où les fréquents fêtes et rituels religieux, pendant lesquels des sacrifices humains se font en grand nombre. La religion nahuatl réformée a un livre saint propre, une liturgie standardisée et une hiérarchie religieuse officielle dirigée par un groupe d'hiérophantes dévoués.;Die nahuatlische Religion besitzt ein Schöpfungsmythos, der sich um Opferungen dreht - selbst Götter wurden geopfert, um die Sonne weiterzubewegen. Dies spiegelt sich in vielen Festen und Ritualen der Religion wider, bei denen großangelegte Menschenopfer vorkommen. Die reformierte nahuatlische Religion hat ein richtiges heiliges Buch, eine standardisierte Liturgie und eine formelle Kirchenhirarchie, die von einer Herde engagierter Hierophanten angeführt wird.;;La religión náhuatl presenta un mito de la creación centrado en el sacrificio -hasta los dioses fueron sacrificados para mantener el sol en movimiento. Esto se refleja en los muchos festivales y rituales de la religión, que presentan sacrificios humanos a escala masiva. La religión náhuatl reformada tiene un libro sagrado propio, una liturgia estandarizada y una jerarquía eclesiástica formal dirigida por un grupo de sacerdotes dedicados.;;;;;;;;;x
religion_feature_aztec_feature;Rulers follow the Nahuatl principles of human sacrifices, seafaring and relentlessness;Les seigneurs suivent les principes nahuatls des sacrifices humains, de la navigation et de l'implacabilité;Herrscher folgen den nahuatlischen Prinzipien von Menschenopfern, Seefahrt und Erbarmungslosigkeit;;Los gobernantes siguen los principios náhuatls de sacrificios humanos, navegación e implacabilidad;;;;;;;;;x
### disease
AZTEC_DISEASE_INFO;This county has suffered an outbreak of Syphilis, a virulent strain of Great Pox brought here by the Nahuatls.;Ce comté a souffert d'une épidémie de syphilis, une souche virulente de la grande vérole amenée par la mer par l'envahisseur nahuatl.;Dieses Land leidet unter einem Ausbruch von Syphilis, einer ansteckenden Krankheit, die von den Nahuatlen eingeschleppt wurde.;;Este condado sufre un brote de Sífilis, una virulenta variante de la Peste traida de allende los mares por los conquistadores Náhuatls.;;;;;;;;;x
### gov
gov_aztec;Nahuatl Colony;Colonie nahuatl;Nahuatlenkolonie;;Colonia náhuatl;;;;;;;;;x
gov_aztec_empire;Nahuatl Hegemony;Hégémonie nahuatl;Nahuatlische Hegemonie;;Hegemonía náhuatl;;;;;;;;;x
### game_rules
RULE_AZTEC_INVASION;§BSunset Invasion:§! Nahuatl Invasion;Invasion nahuatl (§BSunset Invasion§! - Invasion du Soleil Couchant);§BSunset Invasion:§! Nahuatlische Invasion;;§BSunset Invasion:§! Invasión náhuatl;;;;;;;;;x
RULE_AZTEC_INVASION_HISTORICAL_DESC;The Nahuatl Invasion will occur at the very earliest in the 13th century.;L'invasion nahuatl se produira au plus tôt au XIIIe siècle.;Die Nahuatlische Invasion findet frühestens im 13. Jahrhundert statt.;;La invasión náhuatl ocurrirá como muy pronto en el siglo XIII.;;;;;;;;;x
RULE_AZTEC_INVASION_RANDOM_DESC;The Nahuatl Invasion will occur at a random date, though at the earliest 50 years after the game is started.;L'invasion nahuatl se produira à une date aléatoire, mais au plus tôt 50 ans après le début de la partie.;Die Nahuatlische Invasion findet an einem zufällig festgelegten Zeitpunkt statt, aber frühestens 50 Jahre nach Spielstart.;;La invasión náhuatl ocurrirá en una fecha al azar, aunque como muy pronto, 50 años después de empezar el juego.;;;;;;;;;x
RULE_AZTEC_INVASION_DELAYED_RANDOM_DESC;The Nahuatl Invasion will occur at a random date, though at the earliest at the year 1000, and 50 years after the game has started.;L'invasion nahuatl se produira à une date aléatoire, mais au plus tôt en l'an 1000 et 50 ans après le début de la partie.;Die nahuatlische Invasion findet an einem zufällig festgelegten Zeitpunkt statt, aber frühestens ab dem Jahr 1000, und 50 Jahre nach Spielstart.;;La invasión náhuatl tendrá lugar en una fecha aleatoria, aunque no antes del año 1000 y 50 años después del comienzo de la partida.;;;;;;;;;x
RULE_AZTEC_INVASION_OFF_DESC;The Nahuatl Invasion will not occur.;L'invasion nahuatl ne se produira pas.;Die Nahuatlische Invasion findet nicht statt.;;La invasión náhuatl no tendrá lugar.;;;;;;;;;x
### societies
secret_religious_society_aztec_desc_REAL;The faithful Nahuatls bravely worship their high God, the warrior Huitzilopochtli, despite being surrounded by enemies on every side. If they stay true and send him human sacrifices as gifts, he will lead them to a new dawn, a glorious conquest of fire and blood.;Les fidèles nahuatls adorent courageusement leur grand Dieu, le guerrier Huitzilopochtli, bien qu'entourés d'ennemis. S'ils lui restent fidèles et envoient des sacrifices humains, il les conduira à une nouvelle aurore, une conquête glorieuse du feu et du sang.;Die gläubigen Nahuatlen verehren tapfer ihren höchsten Gott, den Krieger Huitzilopochtli, obwohl sie auf allen Seiten von Feinden bedrängt werden. Wenn sie ihrem Glauben treu sind und ihm Menschenopfer darbringen, wird er sie zu einer neuen Morgendämmerung führen, einer glorreichen Eroberung von Feuer und Blut.;;Los fervientes náhuatls veneran valerosamente a su dios, el guerrero Huitzilopochtli, a pesar de verse completamente rodeados por sus enemigos. Si mantienen su fe y le envían sacrificios humanos como obsequio, los liderará hasta un nuevo comienzo, una conquista gloriosa de fuego y sangre.;;;;;;;;;x
secret_religious_society_aztec_reformed_desc_REAL;The faithful Nahuatls bravely worship their high God, the warrior Huitzilopochtli, despite being surrounded by enemies on every side. If they stay true and send him human sacrifices as gifts, he will lead them to a new dawn, a glorious conquest of fire and blood.;Les fidèles nahuatls adorent courageusement leur grand Dieu, le guerrier Huitzilopochtli, bien qu'entourés d'ennemis. S'ils lui restent fidèles et envoient des sacrifices humains, il les conduira à une nouvelle aurore, une conquête glorieuse du feu et du sang.;Die gläubigen Nahuatlen verehren tapfer ihren höchsten Gott, den Krieger Huitzilopochtli, obwohl sie auf allen Seiten von Feinden bedrängt werden. Wenn sie ihrem Glauben treu sind und ihm Menschenopfer darbringen, wird er sie zu einer neuen Morgendämmerung führen, einer glorreichen Eroberung von Feuer und Blut.;;Los fervientes náhuatls veneran valerosamente a su dios, el guerrero Huitzilopochtli, a pesar de verse completamente rodeados por sus enemigos. Si mantienen su fe y le envían sacrificios humanos como obsequio, los liderará hasta un nuevo comienzo, una conquista gloriosa de fuego y sangre.;;;;;;;;;x
### succession_voting
tooltip_feudal_elector_vote_has_aztec_disease;[From.GetSheHeCap] is being consumed by the §YSyphilis§!;[From.GetIlElleCap] est consumé[From.Get_E] par la §Ysyphilis§!;[From.GetSheHeCap] wird vom §YSyphilis§! heimgesucht;;[From.GetLoLaCap] consume la §YSífilis§!;;;;;;;;;x
### title
d_aztec_pagan_reformed;The Nahuatl Hierocracy;Hiérocratie nahuatl;Die nahuatlische Hierokratie;;La jerarquía náhuatl;;;;;;;;x
d_aztec_pagan_reformed_adj;Nahuatl;nahuatl;Nahuatlisch;;Náhuatl;;;;;;;;;x
d_aztec_reformed;The Nahuatl Church;Église nahuatl;Die nahuatlische Kirche;;La Iglesia Náhuatl;;;;;;;;;x
e_mexikha;New Mexikha;Nouveau-Mexikha;Neumexikha;;Nueva Mexikha;;;;;;;;;x
e_mexikha_adj;Mexikhan;Mexikhaine;Mexikhaner;;Mexikhano;;;;;;;;;x
### trait
has_aztec_disease_desc;This character suffers from Syphilis, a virulent strain of Great Pox brought from across the sea by the Nahuatl conquerors.;Ce personnage souffre de la syphilis, une souche virulente de la grande vérole amenée par la mer par l'envahisseur nahuatl.;Dieser Charakter leidet an Syphilis, einer ansteckenden Krankheit, die von den nahuatlischen Eroberern eingeschleppt wurde.;;Este personaje sufre de Sífilis, una virulenta variante de la Peste traida de allende los mares por los conquistadores Náhuatls.;;;;;;;;;x
secretly_aztec;Secretly Nahuatl;Secrètement de foi nahuatl;Heimlicher Nahuatle;;Náhuatl en secreto;;;;;;;;;x
secretly_aztec_desc;This character practices Nahuatl Paganism in secret.;Ce personnage pratique le paganisme nahuatl en secret.;Diese Person übt den nahuatlischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo náhuatl en secreto.;;;;;;;;;x
secretly_aztec_reformed;Secretly Reformed Nahuatl Pagan;Secrètement de foi nahuatl réformée;Heimlicher reformierter nahuatlischer Heide;;Pagano náhuatl reformado en secreto;;;;;;;;;x
secretly_aztec_reformed_desc;This character practices Nahuatl Paganism in secret.;Ce personnage pratique le paganisme nahuatl réformé en secret.;Diese Person übt den nahuatlischen Paganismus nur im Geheimen aus.;;Este personaje practica el paganismo náhuatl en secreto.;;;;;;;;;x
eagle_warrior_desc;The life of Nahuatl warriors is one of constant battle, and the Eagle Knights are the bravest and most fearsome. Their primary purpose is to capture prisoners to be sacrificed to their Gods.;La vie des guerriers nahuatls est faite de batailles, et les guerriers aigles sont les plus braves et les plus redoutés. Leur but premier est de capturer des prisonniers qui seront sacrifiés aux dieux.;Das Leben eines nahuatlischen Kriegers besteht aus ständigem Kampf, und die Adlerritter sind die tapfersten und furchterregendsten. Ihr Hauptzweck besteht darin, die Gefangenen zu fassen, die ihren Göttern geopfert werden sollen.;;La vida de los guerreros náhuatls es de batallas constantes, y los Caballeros del águila son los más valientes y temibles. Su mayor propósito es capturar prisioneros para ofrecerlos en sacrificio a sus dioses.;;;;;;;;;x
### wonders
wonder_aztec_pyramid;Nahuatl Pyramid;Pyramide nahuatl;Nahuatlenpyramide;;Pirámide náhuatl;;;;;;;;;x
wonder_aztec_pyramid_desc;The house of the Gods, an Nahuatl Pyramid is the holy place where messengers can be sent to the Them, by decapitating the victims' heads.;Cette pyramide nahuatl est la maison sacrée des dieux où des messagers peuvent être envoyés avec des têtes décapitées en offrande.;Die nahuatlische Pyramide ist das Haus der Götter und ein heiliger Ort, an den Abgesandte geschickt werden können, um ihnen die Köpfe abzuschlagen.;;Una pirámide náhuatl, la casa de los dioses, es un lugar sagrado donde se les pueden enviar mensajeros cortando la cabeza de las víctimas.;;;;;;;;x
### event
EVTDESCHFH20003;Following the instructions of the Nahuatl priests, you round up a group of convicted criminals and have them dragged in the middle of [sponsoring_king.Capital.GetName]'s square, where a crowd has already rallied.\nThere, the priests dress them up with blind masks depicting your old gods and adorn you and your vassals with the garments of the new ones.\nThe confused and scared criminals are then set free, and in a ritualistic skirmish, you and your vassals slaughter them in front of your subjects, bathing in their blood and proclaiming your allegiance to the gods of the West.;Suivant les instructions des prêtres nahuatls, vous rassemblez un groupe de criminels condamnés et les faites traîner sur la place principale de [sponsoring_king.Capital.GetName], où une foule s'est déjà rassemblée.\nDes prêtres leur mettent des masques aveugles représentant vos anciens dieux et vous ornent, vous et vos vassaux, avec les vêtements des nouveaux.\nLes criminels déconcertés et effrayés sont alors libérés, et dans une échauffourée rituelle, vous et vos vassaux les massacrez devant vos sujets, baignant dans leur sang et proclamant votre allégeance aux dieux de l'Ouest.;Den Anweisungen der nahuatlischen Priester folgend, reiht Ihr eine Gruppe verurteilter Krimineller im Stadtzentrum von [sponsoring_king.Capital.GetName] auf, wo sich auch die Bevölkerung bereits versammelt hat.\nDie Priester ziehen ihnen Masken an, die ein Abbild Eurer alten Götter sind und schmücken Euch und Eure Vasallen mit den Gewändern der Neuen.\nDie verwirrten und verängstigen Kriminellen werden anschließend von ihren Fesseln befreit und in einem rituellen Gefecht schlachtet Ihr und Eure Vasallen sie vor allen Euren Untergebenen ab, badet in ihrem Blut und verkündet Eure Treue den westlichen Göttern gegenüber.;;Siguiendo las instrucciones de los sacerdotes náhuatls, reúnes un grupo de criminales convictos y los arrastras al medio de la plaza de [sponsoring_king.Capital.GetName], donde se ha reunido una multitud. \nAllí, los sacerdotes les ponen máscaras sin ojos representando los viejos dioses os adornan a tus vasallos y a ti con las ropas de los nuevos.\nLos criminales, confusos y asustados, son liberados, y tus vasallos y tú los masacráis en una refriega ritual delante de tus súbditos, bañándoos en su sangre y proclamando vuestra lealtad a los dioses de Poniente.;;;;;;;;;x
EVTDESCHFH20008;Following the instructions of the Nahuatl priests, your liege rounds up a group of convicted criminals and has them dragged in the middle of [sponsoring_king.Capital.GetName]'s square, where a crowd has already rallied.\nThere, the priests dress them up with blind masks depicting your old gods and adorn you, your liege and all [converting_king.GetHerHis] other vassals with the garments of the new ones.\nThe confused and scared criminals are then set free, and in a ritualistic skirmish, you slaughter them in front of your subjects, bathing in their blood and proclaiming your allegiance to the gods of the West.;Suivant les instructions des prêtres nahuatls, votre [Root.Liege.GetLordLady] lige rassemble un groupe de criminels condamnés et les fait traîner sur la place principale de [sponsoring_king.Capital.GetName], où une foule s'est déjà rassemblée.\nDes prêtres leur mettent des masques aveugles représentant vos anciens dieux et vous ornent tous des vêtements des nouveaux.\nLes criminels déconcertés et effrayés sont alors libérés, et dans une échauffourée rituelle, vous les massacrez devant vos sujets, baignant dans leur sang et proclamant votre allégeance aux dieux de l'Ouest.;Den Anweisungen der nahuatlischen Priester folgend, reiht Euer Lehnsherr eine Gruppe verurteilter Krimineller im Stadtzentrum von [sponsoring_king.Capital.GetName] auf, wo sich auch die Bevölkerung bereits versammelt hat.\nDie Priester ziehen ihnen Masken an, die ein Abbild Eurer alten Götter sind und schmücken Euch, Euren Lehnsherrn und alle [converting_king.GetHerHis]e anderen Vasallen mit den Gewändern der Neuen.\nDie verwirrten und verängstigen Kriminellen werden anschließend von ihren Fesseln befreit und in einem rituellen Gefecht schlachtet Ihr sie vor allen Euren Untergebenen ab, badet in ihrem Blut und verkündet Eure Treue den westlichen Göttern gegenüber.;;Siguiendo las instrucciones de los sacerdotes náhuatls, tu señor reúne un grupo de criminales convictos y los arrastra al medio de la plaza de [sponsoring_king.Capital.GetName], donde se ha reunido una multitud.\nAllí, los sacerdotes les ponen máscaras sin ojos representando los viejos dioses y os adoran a tu señor, sus otros vasallos y a ti con las ropas de los nuevos.\nLos criminales, confusos y asustados, son liberados, y los masacráis en una refriega ritual ante los súbditos, bañándoos en su sangre y proclamando vuestra lealtad a los dioses de Poniente.;;;;;;;;;x
EVTDESC_SSI_005;A forest of sails has appeared on the horizon - the terrible Nahuatl scourge has reached our shores!;Une forêt de voiles est apparue à l'horizon : le terrible fléau nahuatl a atteint nos rives !;Ein ganzer Wald von Segeln ist am Horizont erschienen - der furchtbare, nahuatlische Schrecken hat unsere Küsten erreicht!;;Ha aparecido una profusión de velas en el horizonte - ¡el terrible azote náhuatl ha llegado a nuestras costas!;;;;;;;;;x
